Count: 8132 | Pattern: a(U+0061) l(U+006C) d(U+0064) y(U+0079) b(U+0062) Ä(U+00C4) —(U+2014) | Hex: 616c647962c384e28094
Count: 1674 | Pattern: o(U+006F) k(U+006B) r(U+0072) a(U+0061) t(U+0074) Å(U+00C5) ³(U+00B3) | Hex: 6f6b726174c385c2b3
Count: 1651 | Pattern: Ä(U+00C4) ¨(U+00A8) | Hex: c384c2a8
Count: 1502 | Pattern: i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 69c385c2b3
Count: 1315 | Pattern: s(U+0073) e(U+0065) i(U+0069) n(U+006E) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 7365696e69c385c2b3
Count: 1227 | Pattern: Å(U+00C5)  (U+00A0) | Hex: c385c2a0
Count: 1202 | Pattern: s(U+0073)  (U+0020) s(U+0073) Ä(U+00C4) …(U+2026) | Hex: 732073c384e280a6
Count: 1174 | Pattern: a(U+0061) l(U+006C) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 616c69c385c2b3
Count: 1162 | Pattern:  (U+0020) k(U+006B) r(U+0072) i(U+0069) k(U+006B) Å(U+00C5) �(U+FFFD) | Hex: 206b72696bc385efbfbd
Count: 1120 | Pattern: i(U+0069) n(U+006E) k(U+006B) i(U+0069) m(U+006D) Å(U+00C5) ³(U+00B3) | Hex: 696e6b696dc385c2b3
Count: 1117 | Pattern: d(U+0064) a(U+0061) i(U+0069) n(U+006E) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 6461696e69c385c2b3
Count: 1061 | Pattern: v(U+0076) y(U+0079) n(U+006E) Ä(U+00C4) —(U+2014) | Hex: 76796ec384e28094
Count: 1059 | Pattern: T(U+0054) Ä(U+00C4) —(U+2014) | Hex: 54c384e28094
Count: 1019 | Pattern: e(U+0065) t(U+0074) u(U+0075) v(U+0076) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 6574757669c385c2b3
Count: 977 | Pattern: Ä(U+00C4) ¨(U+00A8) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: c384c2a869c385c2b3
Count: 976 | Pattern:  (U+0020) s(U+0073) Ä(U+00C4) …(U+2026) | Hex: 2073c384e280a6
Count: 922 | Pattern: n(U+006E) Å(U+00C5) ³(U+00B3) | Hex: 6ec385c2b3
Count: 917 | Pattern: A(U+0041) n(U+006E) y(U+0079) k(U+006B) Å(U+00C5) �(U+FFFD) | Hex: 416e796bc385efbfbd
Count: 831 | Pattern: l(U+006C) s(U+0073) t(U+0074) i(U+0069) e(U+0065) Ä(U+00C4) ¨(U+00A8) | Hex: 6c73746965c384c2a8
Count: 831 | Pattern:  (U+0020) i(U+0069) r(U+0072)  (U+0020) Å(U+00C5) ¾(U+00BE) | Hex: 20697220c385c2be
Count: 831 | Pattern: j(U+006A) Å(U+00C5) ³(U+00B3)  (U+0020) s(U+0073) Ä(U+00C4) …(U+2026) | Hex: 6ac385c2b32073c384e280a6
Count: 770 | Pattern: a(U+0061) m(U+006D) i(U+0069) e(U+0065) s(U+0073) Ä(U+00C4) ¨(U+00A8) | Hex: 616d696573c384c2a8
Count: 736 | Pattern:  (U+0020) s(U+0073) Ä(U+00C4) …(U+2026) j(U+006A) Å(U+00C5) «(U+00AB) | Hex: 2073c384e280a66ac385c2ab
Count: 721 | Pattern: b(U+0062) e(U+0065) r(U+0072) a(U+0061) l(U+006C) Å(U+00C5) ³(U+00B3) | Hex: 626572616cc385c2b3
Count: 697 | Pattern: A(U+0041) k(U+006B) m(U+006D) e(U+0065) n(U+006E) Ä(U+00C4) —(U+2014) | Hex: 416b6d656ec384e28094
Count: 657 | Pattern: Å(U+00C5) ½(U+00BD) | Hex: c385c2bd
Count: 651 | Pattern: L(U+004C) a(U+0061) i(U+0069) s(U+0073) v(U+0076) Ä(U+00C4) —(U+2014) | Hex: 4c61697376c384e28094
Count: 650 | Pattern: a(U+0061) l(U+006C) y(U+0079) s(U+0073) t(U+0074) Ä(U+00C4) —(U+2014) | Hex: 616c797374c384e28094
Count: 647 | Pattern: K(U+004B) Ä(U+00C4) �(U+FFFD) | Hex: 4bc384efbfbd
Count: 614 | Pattern: T(U+0054) r(U+0072) a(U+0061) k(U+006B) Å(U+00C5) ³(U+00B3) | Hex: 5472616bc385c2b3
Count: 602 | Pattern: i(U+0069) n(U+006E) i(U+0069) n(U+006E) k(U+006B) Å(U+00C5) ³(U+00B3) | Hex: 696e696e6bc385c2b3
Count: 600 | Pattern: ā(U+0101) €(U+20AC) “(U+201C) K(U+004B) Ä(U+00C4) —(U+2014) | Hex: c481e282ace2809c4bc384e28094
Count: 589 | Pattern: k(U+006B) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 6b69c385c2b3
Count: 575 | Pattern: K(U+004B) l(U+006C) a(U+0061) i(U+0069) p(U+0070) Ä(U+00C4) —(U+2014) | Hex: 4b6c616970c384e28094
Count: 554 | Pattern: B(U+0042) i(U+0069) r(U+0072) Å(U+00C5) ¾(U+00BE) Å(U+00C5) ³(U+00B3) | Hex: 426972c385c2bec385c2b3
Count: 517 | Pattern: K(U+004B) Ä(U+00C4) —(U+2014) | Hex: 4bc384e28094
Count: 474 | Pattern: A(U+0041) R(U+0052) T(U+0054) Å(U+00C5) Ŗ(U+0156) | Hex: 415254c385c596
Count: 462 | Pattern: t(U+0074) Å(U+00C5) ³(U+00B3) | Hex: 74c385c2b3
Count: 456 | Pattern: Å(U+00C5) ¾(U+00BE) | Hex: c385c2be
Count: 456 | Pattern: i(U+0069) o(U+006F) n(U+006E) i(U+0069) Å(U+00C5) �(U+FFFD) | Hex: 696f6e69c385efbfbd
Count: 435 | Pattern: M(U+004D) o(U+006F) l(U+006C) Ä(U+00C4) —(U+2014) | Hex: 4d6f6cc384e28094
Count: 368 | Pattern: i(U+0069) o(U+006F) ā(U+0101) €(U+20AC) “(U+201C) Å(U+00C5) ½(U+00BD) | Hex: 696fc481e282ace2809cc385c2bd
Count: 368 | Pattern: v(U+0076) Ä(U+00C4) —(U+2014) | Hex: 76c384e28094
Count: 358 | Pattern: j(U+006A) Å(U+00C5) ³(U+00B3) | Hex: 6ac385c2b3
Count: 355 | Pattern: k(U+006B) Å(U+00C5) ³(U+00B3)  (U+0020) Å(U+00C5) �(U+FFFD) | Hex: 6bc385c2b320c385efbfbd
Count: 355 | Pattern: e(U+0065) i(U+0069) m(U+006D) Å(U+00C5) ³(U+00B3) | Hex: 65696dc385c2b3
Count: 343 | Pattern: u(U+0075) v(U+0076) o(U+006F) s(U+0073)  (U+0020) Å(U+00C5) ¾(U+00BE) | Hex: 75766f7320c385c2be
Count: 339 | Pattern: i(U+0069) a(U+0061) u(U+0075) l(U+006C) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 6961756c69c385c2b3
Count: 333 | Pattern: P(U+0050) a(U+0061) n(U+006E) e(U+0065) v(U+0076) Ä(U+00C4) —(U+2014) | Hex: 50616e6576c384e28094
Count: 314 | Pattern: i(U+0069) o(U+006F) n(U+006E) i(U+0069) Å(U+00C5) ³(U+00B3) | Hex: 696f6e69c385c2b3
Count: 286 | Pattern: Å(U+00C5) ½(U+00BD) i(U+0069) r(U+0072) m(U+006D) Å(U+00C5) «(U+00AB) | Hex: c385c2bd69726dc385c2ab
Count: 265 | Pattern: e(U+0065) g(U+0067) i(U+0069) o(U+006F) n(U+006E) Å(U+00C5) ³(U+00B3) | Hex: 6567696f6ec385c2b3
Count: 263 | Pattern: K(U+004B) e(U+0065) l(U+006C) m(U+006D) Ä(U+00C4) —(U+2014) | Hex: 4b656c6dc384e28094
Count: 249 | Pattern: K(U+004B) a(U+0061) i(U+0069) Å(U+00C5) �(U+FFFD) | Hex: 4b6169c385efbfbd
